,10-Year Treasury Yield,2-Year Treasury Yield,Federal Funds Effective Rate,5-Year Treasury Yield,20-Year Treasury Yield,30-Year Treasury Yield,15-Year Mortgage Rate,30-Year Mortgage Rate,Unemployment Rate,GDP,Real GDP,CPI,PPI,Consumer Confidence Index,Government Debt,Government Debt to GDP,US Dollar Index,Corporate Profits,Building Permits,Velocity of Money,Retail Sales,Industrial Production,3m10y,2y20y,5y10y,10y30y,10yTrea30yFRM,Corporate_Bonds,Gold,SP500
2012-12-31,-0.2534149778251582,-0.9053429717626259,-1.3672781552849398,-0.3361421215314465,-0.7436283262891918,-0.7781785159700403,-0.3631889719373602,-0.27990558153770606,0.2663786541091947,0.2264389863996118,0.12131655447342982,0.23961372613014742,0.07791763341960545,0.3773708699396341,0.6150045762363907,0.4575957865399741,-0.1728160680805465,0.8102000358791756,-0.3068993284174981,-0.2641939765399005,0.3567409173126249,0.10618798805223784,-8.692466541185498,1.1224447457740363,-0.1236911506645062,1.8179424891374611,-0.06625599261962767,0.30336634092043424,0.5186551220394467,0.9323835905228763
2013-01-31,-0.11858351715100102,-0.8253429717626258,-0.700611488618273,-0.11391989930922419,-0.6452031294387981,-0.7036022447835997,-0.3028116134467942,-0.22617423825412408,0.30533969307023356,0.23914660484414785,0.12999444995034137,0.24147319363054742,0.08068516109488222,0.26975297392996056,0.6356128987731817,0.4653973513236874,-0.17594946011466028,0.7992317112629046,-0.28181753997693115,-0.26508577202147,0.36810424040922685,0.10893371476614733,-8.565298911127694,1.2228814269967436,-0.04821945255129867,1.800848472043444,-0.12836779386186392,0.2937360447156069,0.4525521671329297,1.0040826651600403
2013-02-28,-0.18293995279456543,-0.8994170458367,-0.7672781552849396,-0.2389198993092242,-0.6738769645642462,-0.7256842637110444,-0.32060520775284407,-0.23183996063372747,0.2678396930702336,0.23914660484414785,0.12999444995034137,0.2469031203826484,0.08252508749782606,0.32124348883510956,0.6356128987731817,0.4653973513236874,-0.15946231282066692,0.7992317112629046,-0.2392643484875694,-0.26508577202147,0.3826135462085879,0.11372379734008353,-8.652478398307181,1.1990719031872197,-0.06576331220042164,1.8530223850869223,-0.05552011174265847,0.30041999961994403,0.3643728714433945,1.016343855520113
2013-03-31,-0.1935219633765759,-0.8994170458367,-1.124421012427797,-0.2389198993092242,-0.6738769645642462,-0.7256842637110444,-0.32060520775284407,-0.21474594353971044,0.2418656670962076,0.23914660484414785,0.12999444995034137,0.24409120128005846,0.08252508749782606,0.33413008677325384,0.6356128987731817,0.4653973513236874,-0.15938646905881626,0.7992317112629046,-0.28416230767124284,-0.26508577202147,0.3741770176520135,0.11783331835539368,-8.641242443251002,1.1990719031872197,-0.08362045505756432,1.8695513107067567,-0.00613739569327576,0.30168777387243495,0.35365667291858627,1.0522645565783701
2013-04-30,-0.28443105428566684,-1.0194170458367,-0.5688654568722411,-0.355803016192341,-0.7550577763723642,-0.7966520056465284,-0.3749530338398006,-0.262364991158758,0.2551990004295408,0.24338623368644485,0.13138830214799846,0.24200322201347724,0.08068854020673333,0.3061402648903023,0.6336416240164995,0.45921266848445375,-0.16943933898579522,0.794241256251163,-0.2029657264746617,-0.27787958338713503,0.36895280744800374,0.11669281201094861,-8.724575776584336,1.1218361308294962,-0.15634772778483708,1.8289009042026918,-0.02966680745798156,0.31184026482100335,0.14388140964860152,1.0690516725374806
2013-05-31,-0.013842818991549044,-0.6557806822003365,-0.9260083140150983,-0.4726861330754578,-0.5703188205490709,-0.6508186723131951,-0.23319058173252083,-0.14177675586464034,0.24204110569269877,0.24338623368644485,0.13138830214799846,0.24241737750297887,0.0797685770052613,0.4121612072986792,0.6336416240164995,0.45921266848445375,-0.14499586977515444,0.794241256251163,-0.21185900710707273,-0.27787958338713503,0.3754710588242456,0.11761131112882584,-8.439727291735851,1.289237011886765,-0.06811243366718989,1.7950025991179457,-0.01761861468689707,0.2942488484435041,0.1488963685390453,1.1100435588060078
2013-06-30,0.15282384767511747,-0.4557806822003365,-1.1482305362373204,-0.12982899021831507,-0.47879339682025723,-0.5841520056465285,-0.09142812962524105,-0.021188520570522673,0.24204110569269877,0.24338623368644485,0.13138830214799846,0.24241737750297887,0.0797685770052613,0.4121612072986792,0.6336416240164995,0.45921266848445375,-0.13754882487709075,0.794241256251163,-0.21185900710707273,-0.27787958338713503,0.3754710588242456,0.11761131112882584,-8.269915970981135,1.368482294905633,-0.06811243366718989,1.6721955815740863,0.15500043293215038,0.2761036067405124,-0.03639960870994863,1.082538323973735
2013-07-31,0.18456987942114933,-0.5946695710892254,-0.8625162505230348,-0.15110558596299595,-0.44152631607491577,-0.5500610965556193,-0.12285670105381241,-0.054820807566038465,0.21537443902603204,0.2560522628509415,0.13930483625594836,0.24675989754454986,0.08529343888371443,0.41926179901465555,0.6336332599751859,0.4466968016134506,-0.14533634766227532,0.814269056203028,-0.21784106094555722,-0.2822496858585033,0.3854002635136231,0.11628984574586831,-8.237657906465007,1.4279228543461921,0.03098666543190931,1.7121955815740864,0.017944595368698524,0.27879182332060315,0.06854102354735614,1.1334670888031526
2013-08-31,0.25380064865191854,-0.3366050549601931,-1.084738472745257,0.02280745751526503,-0.40559817236234086,-0.5335775800721029,-0.07860891344319287,-0.008417095269054653,0.2016758088890458,0.2560522628509415,0.13930483625594836,0.24914718822724613,0.08620918979946535,0.38400915506635946,0.6336332599751859,0.4466968016134506,-0.13268489736234046,0.814269056203028,-0.25094035883923826,-0.2822496858585033,0.38278225903863083,0.12215383673709601,-8.163439156465007,1.4411241744782053,-0.018193662436943536,1.5968109661894712,0.053238713015757444,0.27131114052332794,0.10808290669637055,1.1041651269720352
2013-09-30,0.2034409364217028,-0.49045120880634696,-1.2275956156024,-0.11916785112671036,-0.4200490394143639,-0.5362802827748057,-0.12663151231324932,-0.05054569837326739,0.2016758088890458,0.2560522628509415,0.13930483625594836,0.24914718822724613,0.08620918979946535,0.38400915506635946,0.6336332599751859,0.4466968016134506,-0.1520339281694506,0.814269056203028,-0.25094035883923826,-0.2822496858585033,0.38278225903863083,0.12215383673709601,-8.210711883737734,1.4443815034684333,0.05939254445960873,1.7381153140155574,-0.0035794688024242127,0.28182503755376564,0.002857189429021023,1.1413383707541458
2013-10-31,0.1769257849065512,-0.5510572694124076,-1.0609289489357332,-0.1767218079612426,-0.4435094499715486,-0.5525404453764317,-0.17707661617081605,-0.10147162429919343,0.2016758088890458,0.269182480291969,0.14641654627158407,0.25005956572022126,0.08803901596597952,0.2756047701698918,0.6586024621226119,0.4583823524958449,-0.154075453900531,0.8399730417403876,-0.16795280697201842,-0.30298526933057846,0.3856489357355314,0.12631841391292187,-8.2450630287759,1.4249009839879139,0.0673925444596083,1.7476391235393671,-0.0818927218144726,0.29102255736703286,0.044970769106027486,1.1850296645829579
2013-11-30,0.24696469541238775,-0.6478314629607946,-1.0609289489357332,-0.13092028124368527,-0.38044638690848553,-0.5001988475802884,-0.14582661617081627,-0.05513016088455924,0.16000914222237916,0.269182480291969,0.14641654627158407,0.25190405514757364,0.08986549998424442,0.30156105432289726,0.6586024621226119,0.4583823524958449,-0.1443904510428028,0.8399730417403876,-0.18232062306397245,-0.30298526933057846,0.3867633955841684,0.12877837450151097,-8.181821922056534,1.5043711826634105,0.16263063969770364,1.757073085803518,-0.06882082638963605,0.2880807517431392,-0.10562010828959023,1.211747322966976
2013-12-31,0.3524192408669332,-0.29068860581793765,-1.0609289489357332,0.14645198153003725,-0.3295989292813668,-0.4635496329206025,-0.07915994950414962,-0.010841116595514788,0.16000914222237916,0.269182480291969,0.14641654627158407,0.25190405514757364,0.08986549998424442,0.30156105432289726,0.6586024621226119,0.4583823524958449,-0.1451541025144072,0.8399730417403876,-0.18232062306397245,-0.30298526933057846,0.3867633955841684,0.12877837450151097,-8.077732702725678,1.528911059964024,0.09741324839335586,1.6168861699156676,-0.11398211671221625,0.28208451601332885,-0.17052924166676198,1.23284136958867
2014-01-31,0.23070871455114372,-0.3959517637126745,-1.0609289489357332,-0.0021194470413913313,-0.4290612948727647,-0.5519334713044409,-0.11325085859505879,-0.04655540230980049,0.11653088135281386,0.2698342590637671,0.14291544890645713,0.25697880952604446,0.09351180809727999,0.3827860876118454,0.684547024526265,0.48365866156601867,-0.12784070413736437,0.8012300964673401,-0.23382693987641168,-0.330187742282665,0.3851899030462159,0.12711014542999866,-8.185476810469785,1.4301086647544432,0.012141930563898451,1.6386253003504503,-0.032901035631135334,0.2958210038275094,-0.03244793283775127,1.207871073887075
2014-02-28,0.2269633961990839,-0.42536352841855685,-1.2037860917928762,0.011303371750554958,-0.4410015933802274,-0.5574736375094271,-0.11619203506564701,-0.03498132823572653,0.11653088135281386,0.2698342590637671,0.14291544890645713,0.25697880952604446,0.09351180809727999,0.3827860876118454,0.684547024526265,0.48365866156601867,-0.13613574056407918,0.8012300964673401,-0.23382693987641168,-0.330187742282665,0.3851899030462159,0.12711014542999866,-8.200571150092426,1.4201418873458054,-0.013281798249660692,1.6279870024781096,0.04209896436886462,0.302620011429965,0.07312897218136671,1.2446393914777112
2014-03-31,0.25327918567276797,-0.09203019508522359,-1.2037860917928762,0.15699873598896563,-0.4410015933802274,-0.5658301834704299,-0.10734247754352311,-0.028116339677374036,0.11653088135281386,0.2698342590637671,0.14291544890645713,0.25697880952604446,0.09351180809727999,0.3827860876118454,0.684547024526265,0.48365866156601867,-0.13766877604850036,0.8012300964673401,-0.23382693987641168,-0.330187742282665,0.3851899030462159,0.12711014542999866,-8.173751226720778,1.383229135667953,-0.14371658085835648,1.5204601207576798,0.03628501088049263,0.3001885272634821,0.0011229318968217772,1.2472692666770824
