Date,SP500,SP500_prediction
2022-12-25,-0.038485056133213735,0.12967142
2023-01-01,-0.03973862629074387,0.13626802
2023-01-08,-0.02496473986985992,0.14312425
2023-01-15,0.0018854292836861797,0.15007769
2023-01-22,-0.004689207843550203,0.15688881
2023-01-29,0.020065725147001223,0.1627766
2023-02-05,0.036507347485300046,0.16764264
2023-02-12,0.0260550205445248,0.17155047
2023-02-19,0.024143491045880205,0.17472647
2023-02-26,-0.0025717055565310787,0.17727827
2023-03-05,-0.006077629346121882,0.17940179
2023-03-12,0.01098864503163699,0.18107684
2023-03-19,0.025588082570844328,0.18231186
2023-03-26,0.04018752011005167,0.18434602
2023-04-02,0.04732810487192629,0.18752895
2023-04-09,0.05107952040671704,0.19185095
2023-04-16,0.059070857298675894,0.19689149
