Date,SP500,SP500_Pred
2022-11-27,0.20394217582094393,-0.03789735
2022-12-04,0.2153259683388607,-0.03821055
2022-12-11,0.18182961059721042,-0.03852375
2022-12-18,0.16085211652046255,-0.03883695
2022-12-25,0.15991284204340933,-0.03915015
2023-01-01,0.1586591915854399,-0.03946335
2023-01-08,0.17343315959539668,-0.03977655
2023-01-15,0.20028332874894278,-0.04008975
2023-01-22,0.1937086916217064,-0.04040295
2023-01-29,0.21846362461225782,-0.04071615
2023-02-05,0.23490524695055665,-0.04102935
2023-02-12,0.2244529200097814,-0.04134255
2023-02-19,0.2225413905111368,-0.04165575
2023-02-26,0.19582619390872552,-0.04196895
2023-03-05,0.21552946536032586,-0.04228215
2023-03-12,0.17030330412505051,-0.04259535
2023-03-19,0.18473250385733858,-0.04290855
