,US Dollar Index
2009-08-23 00:00:00+00:00,94.0103
2009-08-30 00:00:00+00:00,94.4489
2009-09-06 00:00:00+00:00,94.5811
2009-09-13 00:00:00+00:00,93.3225
2009-09-20 00:00:00+00:00,93.1233
2009-09-27 00:00:00+00:00,93.5535
2009-10-04 00:00:00+00:00,93.6756
2009-10-11 00:00:00+00:00,92.2984
2009-10-18 00:00:00+00:00,91.6541
2009-10-25 00:00:00+00:00,91.7331
2009-11-01 00:00:00+00:00,92.6207
2009-11-08 00:00:00+00:00,92.3848
2009-11-15 00:00:00+00:00,91.5754
2009-11-22 00:00:00+00:00,91.9906
2009-11-29 00:00:00+00:00,91.5272
2009-12-06 00:00:00+00:00,91.3806
2009-12-13 00:00:00+00:00,92.2946
2009-12-20 00:00:00+00:00,93.1632
2009-12-27 00:00:00+00:00,92.8694
2010-01-03 00:00:00+00:00,92.9124
2010-01-10 00:00:00+00:00,92.1485
2010-01-17 00:00:00+00:00,91.7668
2010-01-24 00:00:00+00:00,92.943
2010-01-31 00:00:00+00:00,93.7638
2010-02-07 00:00:00+00:00,94.6218
2010-02-14 00:00:00+00:00,93.9976
2010-02-21 00:00:00+00:00,93.9569
2010-02-28 00:00:00+00:00,93.6602
2010-03-07 00:00:00+00:00,93.2623
2010-03-14 00:00:00+00:00,92.6616
2010-03-21 00:00:00+00:00,93.0407
2010-03-28 00:00:00+00:00,93.6873
2010-04-04 00:00:00+00:00,92.9057
2010-04-11 00:00:00+00:00,92.4772
2010-04-18 00:00:00+00:00,92.5253
2010-04-25 00:00:00+00:00,92.6622
2010-05-02 00:00:00+00:00,92.8423
2010-05-09 00:00:00+00:00,95.2952
2010-05-16 00:00:00+00:00,95.3746
2010-05-23 00:00:00+00:00,96.2911
2010-05-30 00:00:00+00:00,96.3062
2010-06-06 00:00:00+00:00,97.1688
2010-06-13 00:00:00+00:00,96.5616
2010-06-20 00:00:00+00:00,95.2981
2010-06-27 00:00:00+00:00,95.4582
2010-07-04 00:00:00+00:00,95.6345
2010-07-11 00:00:00+00:00,94.683
2010-07-18 00:00:00+00:00,94.5061
2010-07-25 00:00:00+00:00,94.1431
2010-08-01 00:00:00+00:00,93.2793
2010-08-08 00:00:00+00:00,92.5915
2010-08-15 00:00:00+00:00,94.0457
2010-08-22 00:00:00+00:00,94.2087
2010-08-29 00:00:00+00:00,94.3462
2010-09-05 00:00:00+00:00,93.6952
2010-09-12 00:00:00+00:00,93.6768
2010-09-19 00:00:00+00:00,92.9418
2010-09-26 00:00:00+00:00,91.5996
2010-10-03 00:00:00+00:00,90.836
2010-10-10 00:00:00+00:00,90.1133
2010-10-17 00:00:00+00:00,89.6815
2010-10-24 00:00:00+00:00,90.4063
2010-10-31 00:00:00+00:00,90.0935
2010-11-07 00:00:00+00:00,89.2441
2010-11-14 00:00:00+00:00,90.1701
2010-11-21 00:00:00+00:00,90.6986
2010-11-28 00:00:00+00:00,91.8152
2010-12-05 00:00:00+00:00,90.8788
2010-12-12 00:00:00+00:00,91.2831
2010-12-19 00:00:00+00:00,91.5555
2010-12-26 00:00:00+00:00,91.3013
2011-01-02 00:00:00+00:00,90.5146
2011-01-09 00:00:00+00:00,91.0001
2011-01-16 00:00:00+00:00,90.0461
2011-01-23 00:00:00+00:00,89.7204
2011-01-30 00:00:00+00:00,89.8189
2011-02-06 00:00:00+00:00,89.391
2011-02-13 00:00:00+00:00,89.8784
2011-02-20 00:00:00+00:00,89.1974
2011-02-27 00:00:00+00:00,89.1664
2011-03-06 00:00:00+00:00,88.4898
2011-03-13 00:00:00+00:00,88.691
2011-03-20 00:00:00+00:00,88.5221
2011-03-27 00:00:00+00:00,88.1716
2011-04-03 00:00:00+00:00,87.7993
2011-04-10 00:00:00+00:00,87.1493
2011-04-17 00:00:00+00:00,87.005
2011-04-24 00:00:00+00:00,86.3742
2011-05-01 00:00:00+00:00,85.5999
2011-05-08 00:00:00+00:00,86.4575
2011-05-15 00:00:00+00:00,87.4176
2011-05-22 00:00:00+00:00,87.3044
2011-05-29 00:00:00+00:00,86.9525
2011-06-05 00:00:00+00:00,86.4234
2011-06-12 00:00:00+00:00,87.042
2011-06-19 00:00:00+00:00,87.2179
2011-06-26 00:00:00+00:00,87.5014
2011-07-03 00:00:00+00:00,86.3613
2011-07-10 00:00:00+00:00,86.615
2011-07-17 00:00:00+00:00,86.5169
2011-07-24 00:00:00+00:00,85.8623
2011-07-31 00:00:00+00:00,85.7282
2011-08-07 00:00:00+00:00,87.1084
2011-08-14 00:00:00+00:00,87.177
2011-08-21 00:00:00+00:00,86.8286
2011-08-28 00:00:00+00:00,87.0751
2011-09-04 00:00:00+00:00,87.1797
2011-09-11 00:00:00+00:00,88.9514
2011-09-18 00:00:00+00:00,89.1108
2011-09-25 00:00:00+00:00,91.6904
2011-10-02 00:00:00+00:00,91.9998
2011-10-09 00:00:00+00:00,91.2469
2011-10-16 00:00:00+00:00,90.2116
2011-10-23 00:00:00+00:00,90.279
2011-10-30 00:00:00+00:00,88.6382
2011-11-06 00:00:00+00:00,90.3154
2011-11-13 00:00:00+00:00,90.8588
2011-11-20 00:00:00+00:00,91.3676
2011-11-27 00:00:00+00:00,93.1455
2011-12-04 00:00:00+00:00,91.3532
2011-12-11 00:00:00+00:00,91.6122
2011-12-18 00:00:00+00:00,92.8252
2011-12-25 00:00:00+00:00,92.3897
2012-01-01 00:00:00+00:00,92.4262
2012-01-08 00:00:00+00:00,92.7183
2012-01-15 00:00:00+00:00,92.5385
2012-01-22 00:00:00+00:00,91.3661
2012-01-29 00:00:00+00:00,90.2559
2012-02-05 00:00:00+00:00,89.8491
2012-02-12 00:00:00+00:00,90.1024
2012-02-19 00:00:00+00:00,90.23
2012-02-26 00:00:00+00:00,89.9104
2012-03-04 00:00:00+00:00,90.135
2012-03-11 00:00:00+00:00,90.4341
2012-03-18 00:00:00+00:00,90.5245
2012-03-25 00:00:00+00:00,90.6156
2012-04-01 00:00:00+00:00,90.4593
2012-04-08 00:00:00+00:00,90.9375
2012-04-15 00:00:00+00:00,91.0558
2012-04-22 00:00:00+00:00,90.8066
2012-04-29 00:00:00+00:00,90.3269
2012-05-06 00:00:00+00:00,91.0497
2012-05-13 00:00:00+00:00,91.7306
2012-05-20 00:00:00+00:00,93.1395
2012-05-27 00:00:00+00:00,93.9488
2012-06-03 00:00:00+00:00,94.6979
2012-06-10 00:00:00+00:00,94.2024
2012-06-17 00:00:00+00:00,93.5203
2012-06-24 00:00:00+00:00,93.9205
2012-07-01 00:00:00+00:00,92.9096
