,10-Year Treasury Yield,2-Year Treasury Yield,Federal Funds Effective Rate,1-Month Treasury Yield,3-Month Treasury Yield,5-Year Treasury Yield,20-Year Treasury Yield,30-Year Treasury Yield,15-Year Mortgage Rate,30-Year Mortgage Rate,3m5y,3m10y,2y10y,2y20y,5y10y,10y30y,10yTrea30yFRM,Corporate_Bonds,Gold,SP500
2004-07-04,4.48,2.54,1.25,1.07,1.3,3.62,5.22,5.3,5.62,6.21,2.3200000000000003,3.1800000000000006,1.9400000000000004,2.6799999999999997,0.8600000000000003,0.8199999999999994,1.6399999999999997,45.85300064086914,33.886558532714844,78.4223403930664
2004-07-11,4.49,2.55,1.24,1.14,1.28,3.64,5.23,5.31,5.42,6.01,2.3600000000000003,3.21,1.9400000000000004,2.6800000000000006,0.8500000000000001,0.8199999999999994,1.5199999999999996,45.85300064086914,33.886558532714844,77.6234130859375
2004-07-18,4.38,2.54,1.24,1.15,1.35,3.56,5.14,5.22,5.4,6.0,2.21,3.03,1.8399999999999999,2.5999999999999996,0.8199999999999998,0.8399999999999999,1.5,45.85300064086914,33.886558532714844,76.91473388671875
2004-07-25,4.45,2.69,1.25,1.23,1.38,3.69,5.2,5.27,5.39,5.98,2.31,3.0700000000000003,1.7600000000000002,2.5100000000000002,0.7600000000000002,0.8199999999999994,1.5,45.85300064086914,33.886558532714844,75.698974609375
2004-08-01,4.5,2.68,1.29,1.27,1.45,3.71,5.24,5.31,5.49,6.08,2.26,3.05,1.8199999999999998,2.56,0.79,0.8099999999999996,1.4800000000000004,45.85300064086914,33.886558532714844,77.00511169433594
2004-08-08,4.24,2.4,1.32,1.36,1.44,3.4,5.04,5.13,5.4,5.99,1.96,2.8000000000000003,1.8400000000000003,2.64,0.8400000000000003,0.8899999999999997,1.5600000000000005,45.85300064086914,33.886558532714844,74.23308563232422
2004-08-15,4.22,2.47,1.48,1.32,1.44,3.42,5.02,5.11,5.24,5.85,1.98,2.78,1.7499999999999996,2.5499999999999994,0.7999999999999998,0.8900000000000006,1.58,45.85300064086914,33.886558532714844,74.46929168701172
2004-08-22,4.24,2.46,1.5,1.34,1.49,3.42,5.03,5.14,5.19,5.81,1.93,2.75,1.7800000000000002,2.5700000000000003,0.8200000000000003,0.8999999999999995,1.5899999999999999,45.85300064086914,33.886558532714844,76.75498962402344
2004-08-29,4.23,2.48,1.52,1.43,1.56,3.43,5.02,5.1,5.21,5.82,1.87,2.6700000000000004,1.7500000000000004,2.5399999999999996,0.8000000000000003,0.8699999999999992,1.6000000000000005,45.85300064086914,33.886558532714844,77.42890167236328
2004-09-05,4.3,2.61,1.48,1.49,1.65,3.52,5.07,5.14,5.15,5.77,1.87,2.65,1.69,2.4600000000000004,0.7799999999999998,0.8399999999999999,1.5699999999999994,45.85300064086914,33.886558532714844,77.89437103271484
