Date;SP500_Prediction;SP500
27/02/2022;0.0029038324154683206;0.0029038324154683206
06/03/2022;0.0022822214074414665;0.0022822214074414665
13/03/2022;0.002926111578168585;0.002926111578168585
20/03/2022;0.005017562406081587;0.005017562406081587
27/03/2022;0.0038022854001030066;0.0038022854001030066
03/04/2022;0.002695202304847556;0.002695202304847556
10/04/2022;0.002249587472375574;0.002249587472375574
17/04/2022;0.003470943979384738;0.003470943979384738
24/04/2022;0.0033922439991372296;0.0033922439991372296
01/05/2022;0.00330744474856619;0.00330744474856619
08/05/2022;0.0027833192864178307;0.0027833192864178307
15/05/2022;0.002336028858927688;0.002336028858927688
22/05/2022;0.0038116356783418565;0.0038116356783418565
29/05/2022;0.0033337562717708144;0.0033337562717708144
05/06/2022;0.0033551840523812705;0.0033551840523812705
12/06/2022;0.002429916102471137;0.002429916102471137
